,Country,GDP_USD_billions,GDP_USD_milions
0,United States,"26,854,599",26854.6
1,China,"19,373,586",19373.59
2,Japan,"4,409,738",4409.74
3,Germany,"4,308,854",4308.85
4,India,"3,736,882",3736.88
5,United Kingdom,"3,158,938",3158.94
6,France,"2,923,489",2923.49
7,Italy,"2,169,745",2169.74
8,Canada,"2,089,672",2089.67
9,Brazil,"2,081,235",2081.24
10,Russia,"2,062,649",2062.65
11,South Korea,"1,721,909",1721.91
12,Australia,"1,707,548",1707.55
13,Mexico,"1,663,164",1663.16
14,Spain,"1,492,432",1492.43
15,Indonesia,"1,391,778",1391.78
16,Netherlands,"1,080,880",1080.88
17,Saudi Arabia,"1,061,902",1061.9
18,Turkey,"1,029,303",1029.3
19,Switzerland,"869,601",869.6
20,Taiwan,"790,728",790.73
21,Poland,"748,887",748.89
22,Argentina,"641,102",641.1
23,Belgium,"624,248",624.25
24,Sweden,"599,052",599.05
25,Ireland,"594,095",594.1
26,Thailand,"574,231",574.23
27,Norway,"554,105",554.1
28,Israel,"539,223",539.22
29,Singapore,"515,548",515.55
30,Austria,"515,199",515.2
31,Nigeria,"506,601",506.6
32,United Arab Emirates,"498,978",498.98
33,Vietnam,"449,094",449.09
34,Malaysia,"447,026",447.03
35,Philippines,"440,901",440.9
36,Bangladesh,"420,516",420.52
37,Denmark,"405,626",405.63
38,South Africa,"399,015",399.02
39,Hong Kong,"382,854",382.85
40,Egypt,"378,110",378.11
41,Iran,"367,970",367.97
42,Chile,"358,557",358.56
43,Romania,"348,902",348.9
44,Colombia,"334,689",334.69
45,Czech Republic,"330,483",330.48
46,Finland,"301,670",301.67
47,Peru,"268,235",268.24
48,Iraq,"267,893",267.89
49,Portugal,"267,721",267.72
50,New Zealand,"251,969",251.97
51,Kazakhstan,"245,695",245.7
52,Greece,"239,300",239.3
53,Qatar,"219,570",219.57
54,Algeria,"206,007",206.01
55,Hungary,"188,505",188.5
56,Kuwait,"164,713",164.71
57,Ethiopia,"156,083",156.08
58,Ukraine,"148,712",148.71
59,Morocco,"138,781",138.78
60,Slovakia,"127,533",127.53
61,Ecuador,"121,291",121.29
62,Dominican Republic,"121,289",121.29
63,Puerto Rico,"120,838",120.84
64,Kenya,"118,130",118.13
65,Angola,"117,877",117.88
66,Oman,"104,902",104.9
67,Guatemala,"102,309",102.31
68,Bulgaria,"100,635",100.64
69,Venezuela,"96,628",96.63
70,Uzbekistan,"92,332",92.33
71,Luxembourg,"86,971",86.97
72,Tanzania,"85,421",85.42
73,Turkmenistan,"82,649",82.65
74,Croatia,"78,881",78.88
75,Lithuania,"78,346",78.35
76,Costa Rica,"77,777",77.78
77,Uruguay,"77,313",77.31
78,Panama,"77,257",77.26
79,Ivory Coast,"77,047",77.05
80,Serbia,"73,961",73.96
81,Belarus,"73,543",73.54
82,Azerbaijan,"70,030",70.03
83,DR Congo,"69,474",69.47
84,Slovenia,"68,108",68.11
85,Ghana,"66,622",66.62
86,Myanmar,"63,988",63.99
87,Jordan,"52,061",52.06
88,Tunisia,"49,815",49.82
89,Uganda,"49,792",49.79
90,Cameroon,"48,625",48.62
91,Latvia,"47,398",47.4
92,Sudan,"46,705",46.7
93,Libya,"46,297",46.3
94,Bolivia,"46,097",46.1
95,Bahrain,"44,870",44.87
96,Paraguay,"42,820",42.82
97,Nepal,"42,097",42.1
98,Estonia,"41,551",41.55
99,Macau,"35,841",35.84
100,El Salvador,"33,752",33.75
101,Honduras,"32,860",32.86
102,Papua New Guinea,"31,362",31.36
103,Senegal,"31,221",31.22
104,Cyprus,"30,864",30.86
105,Cambodia,"30,628",30.63
106,Zimbabwe,"29,931",29.93
107,Zambia,"29,272",29.27
108,Iceland,"28,625",28.62
109,Bosnia and Herzegovina,"28,488",28.49
110,Trinidad and Tobago,"28,223",28.22
111,Georgia,"27,947",27.95
112,Haiti,"26,580",26.58
113,Armenia,"23,725",23.72
114,Guinea,"23,330",23.33
115,Burkina Faso,"21,076",21.08
116,Mali,"20,776",20.78
117,Gabon,"20,330",20.33
118,Albania,"20,177",20.18
119,Mozambique,"19,909",19.91
120,Palestine,"19,206",19.21
121,Botswana,"19,572",19.57
122,Yemen,"19,529",19.53
123,Malta,"19,405",19.4
124,Benin,"19,236",19.24
125,Nicaragua,"17,287",17.29
126,Jamaica,"17,254",17.25
127,Mongolia,"16,908",16.91
128,Niger,"16,617",16.62
129,Guyana,"16,309",16.31
130,Brunei,"15,988",15.99
131,Madagascar,"15,969",15.97
132,Moldova,"15,829",15.83
133,North Macedonia,"15,278",15.28
134,Equatorial Guinea,"15,099",15.1
135,Mauritius,"14,570",14.57
136,Bahamas,"14,114",14.11
137,Laos,"14,091",14.09
138,Namibia,"13,486",13.49
139,Rwanda,"13,149",13.15
140,Congo,"13,031",13.03
141,Tajikistan,"12,796",12.8
142,Kyrgyzstan,"12,309",12.31
143,Chad,"11,962",11.96
144,Malawi,"11,277",11.28
145,Mauritania,"10,966",10.97
146,Kosovo,"9,990",9.99
147,Togo,"9,001",9.0
148,Somalia,"8,738",8.74
149,Montenegro,"7,027",7.03
150,South Sudan,"7,012",7.01
151,Maldives,"7,004",7.0
152,Barbados,"6,117",6.12
153,Fiji,"5,385",5.38
154,Eswatini,"4,824",4.82
155,Liberia,"4,375",4.38
156,Djibouti,"3,916",3.92
157,Andorra,"3,669",3.67
158,Aruba,"3,633",3.63
159,Sierra Leone,"3,520",3.52
160,Suriname,"3,470",3.47
161,Burundi,"3,234",3.23
162,Belize,"3,162",3.16
163,Central African Republic,"2,736",2.74
164,Bhutan,"2,683",2.68
165,Eritrea,"2,666",2.67
166,Lesotho,"2,584",2.58
167,Cape Verde,"2,468",2.47
168,Gambia,"2,277",2.28
169,Saint Lucia,"2,262",2.26
170,East Timor,"1,988",1.99
171,Seychelles,"1,950",1.95
172,Guinea-Bissau,"1,887",1.89
173,Antigua and Barbuda,"1,864",1.86
174,San Marino,"1,807",1.81
175,Solomon Islands,"1,701",1.7
176,Comoros,"1,348",1.35
177,Grenada,"1,274",1.27
178,Vanuatu,"1,064",1.06
179,Saint Kitts and Nevis,"1,052",1.05
180,Saint Vincent and the Grenadines,"1,039",1.04
181,Samoa,898,0.9
182,Dominica,681,0.68
183,São Tomé and Príncipe,625,0.62
184,Tonga,541,0.54
185,Micronesia,456,0.46
186,Marshall Islands,291,0.29
187,Palau,262,0.26
188,Kiribati,248,0.25
189,Nauru,151,0.15
190,Tuvalu,65,0.06
